date,start_time,end_time,region,description
1404/05/16,15:00,17:00,بابرنامه,47- چهار راه شهدا تا چهار راه نواب ( اشرفی 2 تا 22 و 1 تا 27 )  اشرفی10 (شیخ کبیر 24 تا 46 ) و (ایثار 21 تا 35) و حوالی مسجد محدثین
1404/05/16,15:00,17:00,بابرنامه,35- از میدان هادی نورزی تا انتهای روستای هریکنده و مناطق(شهرک بذری، گوهر دشت و علمدار و گرجی اباد جنوبی، قسمتی از میرودپشت )
1404/05/16,15:00,17:00,بابرنامه,7- میدان کشوری تا انتهای کاظم بیگی، اداره دارایی،  کوی پلیس، کوچه های (بوستان 2، 4 و 6 و 24 تا 30 و 23 تا 27) و شهرک بهمن
1404/05/16,15:00,17:00,بابرنامه,22- ابتدای پل حبیبی تا میدان گتاب، روستاهای  کلاگرمحله، دونه سر،  شیرسوار،  بالاسرست، کفشگرکلا،  بنگرکلا،  زعفران کلا، کاسمان کلا و شهرگتاب خیابان های فرهنگ و سنگ رود
1404/05/16,15:00,17:00,بابرنامه,40- چهار راه شهربانی تا چهار راه گله محله و چهار راه گله محله تا کشتار گاه کوچه های(  نیایش 3 تا 11 و 2 تا 12 ) و (اریحی 1 تا  31) و محله درزی کتی (انقلاب 1 تا 20)
1404/05/16,15:00,17:00,بابرنامه,59- روستاهای متکه ، امین اباد جنوبی، کروکلا  (بالا و پایین)،  هلال کلا جنوبی، نوایی کلا، مصیر محله، اندی کلا، تاری محله
1404/05/16,15:00,17:00,بابرنامه,21- شهرک امام، شهرک انقلاب، کمانگر کلا، کوچه جمال ، قسمتی از درزیکلا نصیرایی، شهرک شمال 1 و 2
1404/05/16,15:00,17:00,بابرنامه,2- میدان کشوری از سرداران 1 تا اشرفی 21 ،  محله بعثت و کوچه های بعثت، مدرسه صبوری  و فهیما، کوچه نصیرایی7، قسمتی از کوچه امیرالمومنین و جنب پاساژ مرجان
1404/05/16,15:00,17:00,بابرنامه,28- پارک بانوان ، بلوار ابوالحسنی از میدان میرزاجانزاده تا باغ پهلوان  کوچه های پورگنجی، سیاهکلا محله کوچه های کشاورز و باغ ماهوتی، روشن آباد کوچه های روشن و میرودپشت کوچه های میرود
1404/05/16,15:00,17:00,بابرنامه,خيابان امام از ميدان انقلاب ( ساعت) تا سه را ه سجادي - بلوار ناصري از ميدان منبع آب تا ميدان شهدا ديوکلا کوچه هاي بهشتي يک تا بهشتي يازده - رزاقيان - باقرنسب - اطراف مسجد امام حسين و مخابرات  و اداره برق -کوچه های صفائیان -گلستان - حافظ و حمام قديمي ديوکلا و ابتدای خیابان مصطفی خمینی
1404/05/16,17:00,19:00,بابرنامه,41- از چهار راه شهدا تا سنگ پل کوچه های( ایثار 2 تا 20 و 30 تا 25 )، قسمتی از کوچه معلوجی و پشت آزمایشگاه رازی
1404/05/16,17:00,19:00,بابرنامه,شهرک هاي بهزاد و 22 بهمن وکوچه هاي فارابي -وليعصر - فتح - نبوت - عادل - ميخک - گلستان و اطراف ميدان حائري
1404/05/16,17:00,19:00,بابرنامه,49- مهدی آباد کوچه های ارکیده 1 تا 8، کوچه های زیتون 7 تا 16، کوچه دکتر باوند، شهرک تندست، توحید 28 تا باغ سراج، مهتاب 2، توحید 16 و اتوکاپ، حر 15 کوچه های شریعت
1404/05/16,17:00,19:00,بابرنامه,75- ناریوران تا سه راهی میر کتی، رحمانی محله، سفیدطور، پاریکلا، سنگرودپی، کاردیکلای شرقی، پایین پنبه جار ازارکل،  مسک
1404/05/16,17:00,19:00,بابرنامه,کوی امیر المومنین کوچه های ذوالفقار و کوچه اندیشه، بهداری کاظم بیگی، محله سردخانه اوصیا، بوستان 19 و 23، فیضیه 9، انبار مخابرات، (گلستان3 تا 13 و 17 تا 23)، شهرک دانش، کوچه های عرفان وآدینه و سلمان فارسی مرکزی
1404/05/16,17:00,19:00,بابرنامه,بلوار مادر کوچه های بارفروش5 تا مامطیر 2وردی مسکن مهر  و از (حجاب 1 تا 6)،  و مسکن مهر امید
1404/05/16,17:00,19:00,بابرنامه,5-کوچه های بوستان 1 و هتل مرجان (بوستان 13 تا 21) و (بوستان 12 تا 18)، انتقال خون تا مدرسه صبوری، (شیخ کبیرهای 16 تا 24)، (ملانصیرا  15 تا 19)
1404/05/16,17:00,19:00,بابرنامه,38- نقیب کلا کوچه های (هادی 4 تا 8)، محله های قصاب کلا، پل پیش و حوالی مخابرات استان تا میدان اوقاف و جنب پاساژ بزرگ
1404/05/16,17:00,19:00,بابرنامه,25- باغ ثباتی، بین کارگر تا انتهای موزیرج، خ شهید صالحی از حسینی 1 تا سید ذکریا
1404/05/16,17:00,19:00,بابرنامه,6- میدان کشوری تا میدان هادی نوروزی ( خداداد 6 تا 36 )، فاز 1 و 2 فرهنگ شهر، کتی شرقی، شهرک مالک، شهرک شهرداری، شهرک یاسین ، بعثت2 تا 6 کوچه های (شمس، قدر ،فجر)
1404/05/16,17:00,19:00,بابرنامه,48- میدان سجودی (قاضی کتی) تا پمپ بنزین ایستگاه آمل، کوچه های (بهاران 2 تا 16 و 1 تا 7) و از پاسداران 13 تا انتهای ترمینال موزیرج از (ارشاد 1 تا 31) ، شهرک طالقانی و قسمتی از شهرک اندیشه
1404/05/16,17:00,19:00,بابرنامه,امیرکبیر غربی از فردوس 23 و 14 تا سه راه مرزن اباد،از میدان انوشه تا انتهای بلوار ساحلی ، کوچه های  (مهتاب 1 تا 20)، کوچه های (گلچین 1 تا 9) و (خیام 1 تا 10)، شهرک فلاحیان و توحید 38 ، محله اوشیب کوچه های (وحدت 1 تا 25)-بلوار مادر کوچه های بارفروش5 تا مامطیر 2وردی مسکن مهر  و از (حجاب 1 تا 6)،  و مسکن مهر امید
1404/05/16,17:00,19:00,بابرنامه,14- میدان سردار سلیمانی از معلم 19 تا دانشگاه نوشیروانی، گلستان 19 تا ورودی بسیج 1 و گلستان20 ،  از چهارراه شهرک دانش تا خوابگاه امنیان (مصلی های1تا 7 و2تا 4)  ، قسمتی از محله رضیاکلا واز چهارراه دانش تا گلستان 20و  گلستان 16و 21
1404/05/16,17:00,19:00,بابرنامه,73- از امام زاده عباس بسمت لدار و شاه رضا، پوستکلا، زوارده، کلاگرکلا، آخمن، لیاردن، گرد رودبار، امیرده و قسمتی از بالا مرزناک
